id,job_title,job_description,category
1,"Junior Software Engineer","We are looking for a motivated Junior Software Engineer to join our growing engineering team. In this role you will develop and maintain backend services using Python and Java, collaborate with senior engineers on system design, and write clean well-documented code. You will work with RESTful APIs, relational databases such as PostgreSQL, and version control using Git. Familiarity with Agile/Scrum methodologies is expected. This is a great opportunity to grow your skills in a fast-paced product company. Prior internship or project experience with Python and SQL is required.","Software Engineer"
2,"Senior Software Engineer","We are seeking an experienced Senior Software Engineer to lead development of our core platform services. You will architect and implement scalable microservices using Java and Spring Boot, mentor junior developers, and participate in code reviews. Strong expertise in distributed systems, REST APIs, and Kubernetes is essential. Experience with cloud platforms such as AWS or Azure is highly desirable. You will collaborate closely with product managers and DevOps teams to ship features reliably. 5+ years of professional software development experience required.","Software Engineer"
3,"Data Scientist","Join our analytics team as a Data Scientist and help drive data-informed decision-making across the business. You will build predictive models using Python, scikit-learn, and TensorFlow, and work with large datasets stored in Snowflake and S3. Responsibilities include feature engineering, model evaluation, A/B testing, and presenting insights to stakeholders. Strong knowledge of statistics, regression, classification, and clustering algorithms is required. Experience with SQL and Pandas for data wrangling is essential. You will collaborate with data engineers to productionize models via MLflow.","Data Scientist"
4,"Machine Learning Engineer","We are hiring a Machine Learning Engineer to build and deploy ML systems at scale. You will design end-to-end ML pipelines, train deep learning models using PyTorch and TensorFlow, and deploy them via REST APIs on AWS SageMaker. Experience with MLOps practices, model versioning, and monitoring model drift is required. Strong Python skills and familiarity with Docker and Kubernetes for containerized deployments are essential. You will work closely with data scientists to translate research prototypes into production-ready systems. 3+ years of ML engineering experience preferred.","Machine Learning Engineer"
5,"DevOps Engineer","Our platform team is looking for a skilled DevOps Engineer to manage and improve our CI/CD infrastructure. You will design and maintain deployment pipelines using Jenkins, GitHub Actions, and ArgoCD, and manage containerized workloads on Kubernetes. Strong experience with AWS services including EC2, EKS, RDS, and S3 is required. You will write infrastructure-as-code using Terraform and Ansible, monitor system health with Prometheus and Grafana, and respond to on-call incidents. A solid understanding of Linux system administration and networking fundamentals is expected. 3+ years of DevOps or SRE experience needed.","DevOps Engineer"
6,"Full Stack Web Developer","We are looking for a Full Stack Web Developer to build and maintain our customer-facing web applications. You will develop responsive frontends using React and TypeScript, and build robust backend APIs using Node.js and Express. Experience with PostgreSQL and Redis for data storage and caching is required. Familiarity with Docker for local development and CI/CD pipelines for deployment is a plus. You will collaborate with UI/UX designers to implement pixel-perfect interfaces and ensure cross-browser compatibility. A strong portfolio demonstrating full-stack projects is highly valued.","Web Developer"
7,"Cyber Security Analyst","We are seeking a Cyber Security Analyst to protect our organization's digital assets and infrastructure. You will monitor security events using SIEM tools such as Splunk and IBM QRadar, perform vulnerability assessments, and respond to security incidents. Strong knowledge of network security protocols, firewalls, IDS/IPS systems, and OWASP top 10 is required. Experience with penetration testing tools such as Metasploit and Burp Suite is a plus. You will conduct security audits, develop threat models, and ensure compliance with ISO 27001 and GDPR frameworks. CEH or CISSP certification is preferred.","Cyber Security Analyst"
8,"Cloud Engineer","We are hiring a Cloud Engineer to design and manage our multi-cloud infrastructure. You will deploy and optimize workloads across AWS and Azure, implement auto-scaling architectures, and enforce cloud security best practices. Proficiency in Terraform for infrastructure provisioning and Python or Bash scripting for automation is required. Experience with managed Kubernetes services such as EKS and AKS, and cloud networking concepts including VPCs, subnets, and load balancers is essential. You will work with development teams to optimize cloud costs and reliability. AWS Solutions Architect or Azure Administrator certification is preferred.","Cloud Engineer"
9,"Business Analyst","We are looking for a Business Analyst to bridge the gap between our business stakeholders and technical teams. You will gather and document business requirements, create detailed functional specifications, and facilitate workshops with cross-functional teams. Proficiency in SQL for data analysis, and tools like JIRA and Confluence for project management is required. Experience with data visualization tools such as Tableau or Power BI to communicate insights is highly valued. You will analyze existing business processes, identify inefficiencies, and propose data-driven improvements. A background in IT or software product companies is strongly preferred.","Business Analyst"
10,"Backend Software Engineer","We are seeking a Backend Software Engineer with strong expertise in building high-performance APIs and services. You will develop microservices in Go and Python, integrate with message brokers such as Apache Kafka, and design schemas for PostgreSQL and MongoDB databases. Experience with Docker and Kubernetes for containerization, and AWS for cloud deployment is required. You will participate in system design discussions, write comprehensive unit and integration tests, and maintain technical documentation. Knowledge of caching strategies using Redis and experience with gRPC are additional plusses. 3–5 years of backend development experience expected.","Software Engineer"
11,"Senior Data Scientist","We are looking for a Senior Data Scientist to lead analytics initiatives and mentor a team of analysts. You will develop advanced ML models for customer segmentation, churn prediction, and demand forecasting using Python, XGBoost, and deep learning frameworks. Strong experience with SQL, Spark, and cloud data platforms such as Databricks or BigQuery is required. You will define experiment design, perform statistical hypothesis testing, and present findings to C-level executives. Expertise in NLP techniques including text classification and named entity recognition is a bonus. 5+ years of data science experience in a commercial setting required.","Data Scientist"
